valor1,valor2,valor3,valor4,valor5,valor6,valor7,monto,no pago
S,sergio,Y,Y,12,h,12,88,0
A,pepe,U,U,11,g,11,93,0
A,sergio,U,U,23,f,23,34,0
A,jojo,Y,Y,21,d,21,45,0
A,sergio,T,T,2,s,2,5,0
A,sergio,Y,Y,21,a,21,76,0
S,sergio,Y,Y,54,z,54,30,0
A,jojo,U,U,56,x,56,4,0
S,sergio,Y,Y,76,c,76,34,0
A,pepe,T,T,78,v,78,10,0
A,jojo,U,U,98,b,98,21,0
S,sergio,Y,Y,76,n,76,42,0
S,sergio,Y,Y,54,q,54,28,0
S,sergio,Y,Y,32,w,32,14,0
A,sergio,Y,Y,34,e,34,31,0
A,sergio,T,T,56,r,56,67,0
S,pepe,T,T,7,t,7,8,0
A,jojo,T,T,8,y,8,5,0
S,pepe,T,T,9,u,9,4,0
A,sergio,T,T,8,i,8,5,0
S,sergio,U,U,7,o,7,44,0
S,jojo,U,U,6,p,6,32,0
S,pepe,U,U,5,l,5,67,0
S,sergio,U,U,4,k,4,88,0
A,pepe,U,U,3,j,3,93,0
A,sergio,Y,Y,2,h,2,34,0
A,jojo,T,T,1,g,1,45,0
A,sergio,Y,Y,2,f,2,5,0
A,sergio,U,U,3,d,3,76,0
S,sergio,Y,Y,4,s,4,30,0
A,jojo,U,U,5,a,5,4,0
S,sergio,Y,Y,6,z,6,34,0
A,pepe,T,T,7,x,7,10,0
A,jojo,U,U,7,c,7,21,0
S,jojo,T,T,77,v,77,72,0
S,sergio,T,T,56,b,56,35,0
S,sergio,U,U,54,n,54,42,0
S,sergio,U,U,34,q,34,28,0
S,sergio,U,U,32,w,32,14,0
A,sergio,U,U,14,e,14,31,0
A,sergio,U,U,16,r,16,67,0
S,pepe,U,U,18,t,18,8,0
A,jojo,Y,Y,19,y,19,5,0
S,pepe,T,T,1,u,1,4,0
A,sergio,Y,Y,2,i,2,5,0
S,sergio,U,U,3,o,3,44,0
S,jojo,Y,Y,4,p,4,32,0
S,pepe,T,T,5,l,5,67,0
S,sergio,Y,Y,6,k,6,88,0
A,pepe,U,U,7,j,7,93,0
A,sergio,U,U,6,h,6,34,0
A,jojo,Y,Y,5,g,5,45,0
A,sergio,T,T,4,f,4,5,0
A,sergio,Y,Y,3,d,3,76,0
S,sergio,Y,Y,2,s,2,30,0
A,jojo,U,U,1,a,1,4,0
S,sergio,Y,Y,2,z,2,34,0
A,pepe,T,T,3,x,3,10,0
A,jojo,U,U,4,c,4,21,0
S,sergio,Y,Y,5,v,5,42,0
S,sergio,Y,Y,6,b,6,28,0
S,sergio,Y,Y,7,n,7,14,0
A,sergio,Y,Y,8,q,8,31,0
A,sergio,T,T,9,w,9,67,0
S,pepe,T,T,0,e,0,8,0
A,jojo,T,T,9,r,9,5,0
S,pepe,T,T,12,t,12,4,0
A,sergio,T,T,11,y,11,5,0
S,sergio,U,U,23,u,23,44,0
S,jojo,U,U,21,i,21,32,0
S,pepe,U,U,2,o,2,67,0
S,sergio,U,U,21,p,21,88,0
A,pepe,U,U,54,l,54,93,0
A,sergio,Y,Y,56,k,56,34,0
A,jojo,T,T,76,j,76,45,0
A,sergio,Y,Y,78,h,78,5,0
A,sergio,U,U,98,g,98,76,0
S,sergio,Y,Y,76,f,76,30,0
A,jojo,U,U,54,d,54,4,0
S,sergio,Y,Y,32,s,32,34,0
A,pepe,T,T,34,a,34,10,0
A,jojo,U,U,56,z,56,21,0
S,jojo,T,T,7,x,7,72,0
S,sergio,T,T,8,c,8,35,0
S,sergio,U,U,9,v,9,42,0
S,sergio,U,U,8,b,8,28,0
S,sergio,U,U,7,n,7,14,0
A,sergio,U,U,6,q,6,31,0
A,sergio,U,U,5,w,5,67,0
S,pepe,U,U,4,e,4,8,0
A,jojo,Y,Y,3,r,3,5,0
S,pepe,T,T,2,t,2,4,0
A,sergio,Y,Y,1,y,1,5,0
S,sergio,U,U,2,u,2,44,0
S,jojo,Y,Y,3,i,3,32,0
S,pepe,T,T,4,o,4,67,0
S,sergio,Y,Y,5,p,5,88,0
A,pepe,U,U,6,l,6,93,0
A,sergio,U,U,7,k,7,34,0
A,jojo,Y,Y,7,j,7,45,0
A,sergio,T,T,77,h,77,5,0
A,sergio,Y,Y,56,g,56,76,0
S,sergio,Y,Y,54,f,54,30,0
A,jojo,U,U,34,d,34,4,0
S,sergio,Y,Y,32,s,32,34,0
A,pepe,T,T,14,a,14,10,0
A,jojo,U,U,16,z,16,21,0
S,sergio,Y,Y,18,x,18,42,0
S,sergio,Y,Y,19,c,19,28,0
S,sergio,Y,Y,1,v,1,14,0
A,sergio,Y,Y,2,b,2,31,0
A,sergio,T,T,3,n,3,67,0
S,pepe,T,T,4,q,4,8,0
A,jojo,T,T,5,w,5,5,0
S,pepe,T,T,6,e,6,4,0
A,sergio,T,T,7,r,7,5,0
S,sergio,U,U,6,t,6,44,0
S,jojo,U,U,5,y,5,32,0
S,pepe,U,U,4,u,4,67,0
S,sergio,U,U,3,i,3,88,0
A,pepe,U,U,2,o,2,93,0
A,sergio,Y,Y,1,p,1,34,0
A,jojo,T,T,2,l,2,45,0
A,sergio,Y,Y,3,k,3,5,0
A,sergio,U,U,4,j,4,76,0
S,sergio,Y,Y,5,h,5,30,0
A,jojo,U,U,6,g,6,4,0
S,sergio,Y,Y,7,f,7,55,0
A,pepe,T,T,8,d,8,56,0
A,jojo,U,U,9,s,9,557,0
S,jojo,T,T,0,a,0,58,0
S,sergio,T,T,9,z,9,59,0
S,sergio,U,U,12,x,12,54,0
S,sergio,U,U,11,c,11,43,0
S,sergio,U,U,23,v,23,32,0
A,sergio,U,U,21,b,21,12,0
A,sergio,U,U,2,n,2,34,0
S,pepe,U,U,21,q,21,44,0
A,jojo,Y,Y,54,w,54,45,0
S,pepe,T,T,56,e,56,67,0
A,sergio,Y,Y,76,r,76,88,0
S,sergio,U,U,78,t,78,44,0
S,jojo,Y,Y,98,y,98,32,0
S,pepe,T,T,76,u,76,67,0
S,sergio,Y,Y,54,i,54,88,0
A,pepe,U,U,32,o,32,93,0
A,sergio,U,U,34,p,34,34,0
A,jojo,Y,Y,56,l,56,45,0
A,sergio,T,T,7,k,7,5,0
A,sergio,Y,Y,8,j,8,76,0
S,sergio,Y,Y,9,h,9,30,0
A,jojo,U,U,8,g,8,4,0
S,sergio,Y,Y,7,f,7,34,0
A,pepe,T,T,6,d,6,10,0
A,jojo,U,U,5,s,5,21,0
S,sergio,Y,Y,4,a,4,42,0
S,sergio,Y,Y,3,z,3,28,0
S,sergio,Y,Y,2,x,2,14,0
A,sergio,Y,Y,1,c,1,31,0
A,sergio,T,T,2,v,2,67,0
S,pepe,T,T,3,b,3,8,0
A,jojo,T,T,4,n,4,5,0
S,pepe,T,T,5,q,5,4,0
A,sergio,T,T,6,w,6,5,0
S,sergio,U,U,7,e,7,44,0
S,jojo,U,U,7,r,7,32,0
S,pepe,U,U,77,t,77,67,0
S,sergio,U,U,56,y,56,88,0
A,pepe,U,U,54,u,54,93,0
A,sergio,Y,Y,34,i,34,34,0
A,jojo,T,T,32,o,32,45,0
A,sergio,Y,Y,14,p,14,5,0
A,sergio,U,U,16,l,16,76,0
S,sergio,Y,Y,18,k,18,30,0
A,jojo,U,U,19,j,19,4,0
S,sergio,Y,Y,1,h,1,34,0
A,pepe,T,T,2,g,2,10,0
A,jojo,U,U,3,f,3,21,0
S,jojo,T,T,4,d,4,72,0
S,sergio,T,T,5,s,5,35,0
S,sergio,U,U,6,a,6,42,0
S,sergio,U,U,7,z,7,28,0
S,sergio,U,U,6,x,6,14,0
A,sergio,U,U,5,c,5,31,0
A,sergio,U,U,4,v,4,67,0
S,pepe,U,U,3,b,3,8,0
A,jojo,Y,Y,2,n,2,5,0
S,pepe,T,T,1,q,1,4,0
A,sergio,Y,Y,2,w,2,5,0
S,sergio,U,U,3,e,3,44,0
S,jojo,Y,Y,4,r,4,32,0
S,pepe,T,T,5,t,5,67,0
S,sergio,Y,Y,6,y,6,88,0
A,pepe,U,U,7,u,7,93,0
A,sergio,U,U,8,i,8,34,0
A,jojo,Y,Y,9,o,9,45,0
A,sergio,T,T,0,p,0,5,0
A,sergio,Y,Y,9,l,9,76,0
S,sergio,Y,Y,12,k,12,30,0
A,jojo,U,U,11,j,11,4,0
S,sergio,Y,Y,23,h,23,34,0
A,pepe,T,T,21,g,21,10,0
A,jojo,U,U,2,f,2,21,0
S,sergio,Y,Y,21,d,21,42,0
S,sergio,Y,Y,54,s,54,28,0
S,sergio,Y,Y,56,a,56,14,0
A,sergio,Y,Y,76,z,76,31,0
A,sergio,T,T,78,x,78,67,0
S,pepe,T,T,98,c,98,8,0
A,jojo,T,T,76,v,76,5,0
S,pepe,T,T,54,b,54,4,0
A,sergio,T,T,32,n,32,5,0
S,sergio,U,U,34,q,34,44,0
S,jojo,U,U,56,w,56,32,0
S,pepe,U,U,7,e,7,67,0
S,sergio,U,U,8,r,8,88,0
A,pepe,U,U,9,t,9,93,0
A,sergio,Y,Y,8,y,8,34,0
A,jojo,T,T,7,u,7,45,0
A,sergio,Y,Y,6,i,6,5,0
A,sergio,U,U,5,o,5,76,0
S,sergio,Y,Y,4,p,4,30,0
A,jojo,U,U,3,l,3,4,0
S,sergio,Y,Y,2,k,2,34,0
A,pepe,T,T,1,j,1,10,0
A,jojo,U,U,2,h,2,21,0
S,jojo,T,T,3,g,3,72,0
S,sergio,T,T,4,f,4,35,0
S,sergio,U,U,5,d,5,42,0
S,sergio,U,U,6,s,6,28,0
S,sergio,U,U,7,a,7,14,0
A,sergio,U,U,7,z,7,31,0
A,sergio,U,U,77,x,77,67,0
S,pepe,U,U,56,c,56,8,0
A,jojo,Y,Y,54,v,54,5,0
S,pepe,T,T,34,b,34,4,0
A,sergio,Y,Y,32,n,32,5,0
S,sergio,U,U,14,q,14,44,0
S,jojo,Y,Y,16,w,16,32,0
S,pepe,T,T,18,e,18,67,0
S,sergio,Y,Y,19,r,19,88,0
A,pepe,U,U,1,t,1,93,0
A,sergio,U,U,2,y,2,34,0
A,jojo,Y,Y,3,u,3,45,0
A,sergio,T,T,4,i,4,5,0
A,sergio,Y,Y,5,o,5,76,0
S,sergio,Y,Y,6,p,6,30,0
A,jojo,U,U,7,l,7,4,0
S,sergio,Y,Y,6,k,6,34,0
A,pepe,T,T,5,j,5,10,0
A,jojo,U,U,4,h,4,21,0
S,sergio,Y,Y,3,g,3,42,0
S,sergio,Y,Y,2,f,2,28,0
S,sergio,Y,Y,1,d,1,14,0
A,sergio,Y,Y,2,s,2,31,0
A,sergio,T,T,3,a,3,67,0
S,pepe,T,T,4,z,4,8,0
A,jojo,T,T,5,x,5,5,0
S,pepe,T,T,6,c,6,4,0
A,sergio,T,T,7,v,7,5,0
S,sergio,U,U,8,b,8,44,0
S,jojo,U,U,9,n,9,32,0
S,pepe,U,U,0,q,0,67,0
S,sergio,U,U,9,w,9,88,0
A,pepe,U,U,12,e,12,93,0
A,sergio,Y,Y,11,r,11,34,0
A,jojo,T,T,23,t,23,45,0
A,sergio,Y,Y,21,y,21,5,0
A,sergio,U,U,2,u,2,76,0
S,sergio,Y,Y,21,i,21,30,0
A,jojo,U,U,54,o,54,4,0
S,sergio,Y,Y,56,p,56,34,0
A,pepe,T,T,76,l,76,10,0
A,jojo,U,U,78,k,78,21,0
S,jojo,T,T,98,j,98,72,0
S,sergio,T,T,76,h,76,35,0
S,sergio,U,U,54,g,54,42,0
S,sergio,U,U,32,f,32,28,0
S,sergio,U,U,34,d,34,14,0
A,sergio,U,U,56,s,56,31,0
A,sergio,U,U,7,a,7,67,0
S,pepe,U,U,8,z,8,8,0
A,jojo,Y,Y,9,x,9,5,0
S,pepe,T,T,8,c,8,4,0
A,sergio,Y,Y,7,v,7,5,0
S,sergio,U,U,6,b,6,44,0
S,jojo,Y,Y,5,n,5,32,0
S,pepe,T,T,4,q,4,67,0
S,sergio,Y,Y,3,w,3,88,0
A,pepe,U,U,2,e,2,93,0
A,sergio,U,U,1,r,1,34,0
A,jojo,Y,Y,2,t,2,45,0
A,sergio,T,T,3,y,3,5,0
A,sergio,Y,Y,4,u,4,76,0
S,sergio,Y,Y,5,i,5,30,0
A,jojo,U,U,6,o,6,4,0
S,sergio,Y,Y,7,p,7,34,0
A,pepe,T,T,7,l,7,10,0
A,jojo,U,U,77,k,77,21,0
S,sergio,Y,Y,56,j,56,42,0
S,sergio,Y,Y,54,h,54,28,0
S,sergio,Y,Y,34,g,34,14,0
A,sergio,Y,Y,32,f,32,31,0
A,sergio,T,T,14,d,14,67,0
S,pepe,T,T,16,s,16,8,0
A,jojo,T,T,18,a,18,5,0
S,pepe,T,T,19,z,19,4,0
A,sergio,T,T,1,x,1,5,0
S,sergio,U,U,2,c,2,44,0
S,jojo,U,U,3,v,3,32,0
S,pepe,U,U,4,b,4,67,0
S,sergio,U,U,5,n,5,88,0
A,pepe,U,U,6,q,6,93,0
A,sergio,Y,Y,7,w,7,34,0
A,jojo,T,T,6,e,6,45,0
A,sergio,Y,Y,5,r,5,5,0
A,sergio,U,U,4,t,4,76,0
S,sergio,Y,Y,3,y,3,30,0
A,jojo,U,U,2,u,2,4,0
S,sergio,Y,Y,1,i,1,34,0
A,pepe,T,T,2,o,2,10,0
A,jojo,U,U,3,p,3,21,0
S,jojo,T,T,4,l,4,72,0
S,sergio,T,T,5,k,5,35,0
S,sergio,U,U,6,j,6,42,0
S,sergio,U,U,7,h,7,28,0
S,sergio,U,U,8,g,8,14,0
A,sergio,U,U,9,f,9,31,0
A,sergio,U,U,0,d,0,67,0
S,pepe,U,U,9,s,9,8,0
A,jojo,Y,Y,12,a,12,5,0
S,pepe,T,T,11,z,11,4,0
A,sergio,Y,Y,23,x,23,5,0
S,sergio,U,U,21,c,21,44,0
S,jojo,Y,Y,2,v,2,32,0
S,pepe,T,T,21,b,21,67,0
S,sergio,Y,Y,54,n,54,88,0
A,pepe,U,U,56,m,56,93,0
A,sergio,U,U,76,q,76,34,0
A,jojo,Y,Y,78,w,78,45,0
A,sergio,T,T,98,e,98,5,0
A,sergio,Y,Y,76,r,76,76,0
S,sergio,Y,Y,54,t,54,30,0
A,jojo,U,U,32,y,32,4,0
S,sergio,Y,Y,34,u,34,34,0
A,pepe,T,T,56,i,56,10,0
A,jojo,U,U,7,o,7,21,0
S,sergio,Y,Y,8,p,8,42,0
S,sergio,Y,Y,9,l,9,28,0
S,sergio,Y,Y,8,k,8,14,0
A,sergio,Y,Y,7,j,7,31,0
A,sergio,T,T,6,h,6,67,0
S,pepe,T,T,5,g,5,8,0
A,jojo,T,T,4,f,4,5,0
S,pepe,T,T,3,d,3,4,0
A,sergio,T,T,2,s,2,5,0
S,sergio,U,U,1,a,1,44,0
S,jojo,U,U,2,z,2,32,0
S,pepe,U,U,3,x,3,67,0
S,sergio,U,U,4,c,4,88,0
A,pepe,U,U,5,v,5,93,0
A,sergio,Y,Y,6,b,6,34,0
A,jojo,T,T,7,n,7,45,0
A,sergio,Y,Y,7,m,7,5,0
A,sergio,U,U,77,q,77,76,0
S,sergio,Y,Y,56,w,56,30,0
A,jojo,U,U,54,e,54,4,0
S,sergio,Y,Y,34,r,34,34,0
A,pepe,T,T,32,t,32,10,0
A,jojo,U,U,14,y,14,21,0
S,jojo,T,T,16,u,16,72,0
S,sergio,T,T,18,i,18,35,0
S,sergio,U,U,19,o,19,42,0
S,sergio,U,U,43,p,43,28,0
S,sergio,U,U,1,l,1,14,0
A,sergio,U,U,2,k,2,31,0
A,sergio,U,U,3,j,3,67,0
S,pepe,U,U,4,h,4,8,0
A,jojo,Y,Y,5,g,5,5,0
S,pepe,T,T,6,f,6,4,0
A,sergio,Y,Y,7,d,7,5,0
S,sergio,U,U,6,s,6,44,0
S,jojo,Y,Y,5,a,5,32,0
S,pepe,T,T,4,z,4,67,0
S,sergio,Y,Y,3,x,3,88,0
A,pepe,U,U,2,c,2,93,0
A,sergio,U,U,1,v,1,34,0
A,jojo,Y,Y,2,b,2,45,0
A,sergio,T,T,3,n,3,5,0
A,sergio,Y,Y,4,q,4,76,0
S,sergio,Y,Y,5,w,5,30,0
A,jojo,U,U,6,e,6,4,0
S,sergio,Y,Y,7,r,7,34,0
A,pepe,T,T,8,t,8,10,0
A,jojo,U,U,9,y,9,21,0
S,sergio,Y,Y,0,u,0,42,0
S,sergio,Y,Y,9,i,9,28,0
S,sergio,Y,Y,12,o,12,14,0
A,sergio,Y,Y,11,p,11,31,0
A,sergio,T,T,23,l,23,67,0
S,pepe,T,T,21,k,21,8,0
A,jojo,T,T,2,j,2,5,0
S,pepe,T,T,21,h,21,4,0
A,sergio,T,T,54,g,54,5,0
S,sergio,U,U,56,f,56,44,0
S,jojo,U,U,76,d,76,32,0
S,pepe,U,U,78,s,78,67,0
S,sergio,U,U,98,a,98,88,0
A,pepe,U,U,76,z,76,93,0
A,sergio,Y,Y,54,x,54,34,0
A,jojo,T,T,32,c,32,45,0
A,sergio,Y,Y,34,v,34,5,0
A,sergio,U,U,56,b,56,76,0
S,sergio,Y,Y,7,n,7,30,0
A,jojo,U,U,8,q,8,4,0
S,sergio,Y,Y,9,w,9,34,0
A,pepe,T,T,8,e,8,10,0
A,jojo,U,U,7,r,7,21,0
S,jojo,T,T,6,t,6,72,0
S,sergio,T,T,5,y,5,35,0
S,sergio,U,U,4,u,4,42,0
S,sergio,U,U,3,i,3,28,0
S,sergio,U,U,2,o,2,14,0
A,sergio,U,U,1,p,1,31,0
A,sergio,U,U,2,l,2,67,0
S,pepe,U,U,3,k,3,8,0
A,jojo,Y,Y,4,j,4,5,0
S,pepe,T,T,5,h,5,4,0
A,sergio,Y,Y,6,g,6,5,0
S,sergio,U,U,7,f,7,44,0
S,jojo,Y,Y,7,d,7,32,0
S,pepe,T,T,77,s,77,67,0
S,sergio,Y,Y,56,a,56,88,0
A,pepe,U,U,54,z,54,93,0
A,sergio,U,U,34,x,34,34,0
A,jojo,Y,Y,32,c,32,45,0
A,sergio,T,T,14,v,14,5,0
A,sergio,Y,Y,16,b,16,76,0
S,sergio,Y,Y,18,n,18,30,0
A,jojo,U,U,19,q,19,4,0
S,sergio,Y,Y,43,w,43,34,0
A,pepe,T,T,1,e,1,10,0
A,jojo,U,U,2,r,2,21,0
S,sergio,Y,Y,3,t,3,42,0
S,sergio,Y,Y,4,y,4,28,0
S,sergio,Y,Y,5,u,5,14,0
A,sergio,Y,Y,6,i,6,31,0
A,sergio,T,T,7,o,7,67,0
S,pepe,T,T,6,p,6,8,0
A,jojo,T,T,5,l,5,5,0
S,pepe,T,T,4,k,4,4,0
A,sergio,T,T,3,j,3,5,0
S,sergio,U,U,2,h,2,44,0
S,jojo,U,U,1,g,1,32,0
S,pepe,U,U,2,f,2,67,0
S,sergio,U,U,3,d,3,88,0
A,pepe,U,U,4,s,4,93,0
A,sergio,Y,Y,5,a,5,34,0
A,jojo,T,T,6,z,6,45,0
A,sergio,Y,Y,7,x,7,5,0
A,sergio,U,U,8,c,8,76,0
S,sergio,Y,Y,9,v,9,30,0
A,jojo,U,U,0,b,0,4,0
S,sergio,Y,Y,9,n,9,34,0
A,pepe,T,T,12,q,12,10,0
A,jojo,U,U,11,w,11,21,0
S,jojo,T,T,23,e,23,72,0
S,sergio,T,T,21,r,21,35,0
S,sergio,U,U,2,t,2,42,0
S,sergio,U,U,21,y,21,28,0
S,sergio,U,U,54,u,54,14,0
A,sergio,U,U,56,i,56,31,0
A,sergio,U,U,76,o,76,67,0
S,pepe,U,U,78,p,78,8,0
A,jojo,Y,Y,98,l,98,5,0
S,pepe,T,T,76,k,76,4,0
A,sergio,Y,Y,54,j,54,5,0
S,sergio,U,U,32,h,32,44,0
S,jojo,Y,Y,34,g,34,32,0
S,pepe,T,T,56,f,56,67,0
S,sergio,Y,Y,7,d,7,88,0
A,pepe,U,U,8,s,8,93,0
A,sergio,U,U,9,a,9,34,0
A,jojo,Y,Y,8,z,8,45,0
A,sergio,T,T,7,x,7,5,0
A,sergio,Y,Y,6,c,6,76,0
S,sergio,Y,Y,5,v,5,30,0
A,jojo,U,U,4,b,4,4,0
S,sergio,Y,Y,3,n,3,34,0
A,pepe,T,T,2,q,2,10,0
A,jojo,U,U,1,w,1,21,0
S,sergio,Y,Y,2,e,2,42,0
S,sergio,Y,Y,3,r,3,28,0
S,sergio,Y,Y,4,t,4,14,0
A,sergio,Y,Y,5,y,5,31,0
A,sergio,T,T,6,u,6,67,0
S,pepe,T,T,7,i,7,8,0
A,jojo,T,T,7,o,7,5,0
S,pepe,T,T,77,p,77,4,0
A,sergio,T,T,56,l,56,5,0
S,sergio,U,U,54,k,54,44,0
S,jojo,U,U,34,j,34,32,0
S,pepe,U,U,32,h,32,67,0
S,sergio,U,U,14,g,14,88,0
A,pepe,U,U,16,f,16,93,0
A,sergio,Y,Y,18,d,18,34,0
A,jojo,T,T,19,s,19,45,0
A,sergio,Y,Y,1,a,1,5,0
A,sergio,U,U,2,z,2,76,0
S,sergio,Y,Y,3,x,3,30,0
A,jojo,U,U,4,c,4,4,0
S,sergio,Y,Y,5,v,5,34,0
A,pepe,T,T,6,b,6,10,0
A,jojo,U,U,7,n,7,21,0
S,jojo,T,T,6,q,6,72,0
S,sergio,T,T,5,w,5,35,0
S,sergio,U,U,4,e,4,42,0
S,sergio,U,U,3,r,3,28,0
S,sergio,U,U,2,t,2,14,0
A,sergio,U,U,1,y,1,31,0
A,sergio,U,U,2,u,2,67,0
S,pepe,U,U,3,i,3,8,0
A,jojo,Y,Y,4,o,4,5,0
S,pepe,T,T,5,p,5,4,0
A,sergio,Y,Y,6,l,6,5,0
S,sergio,U,U,7,k,7,44,0
S,jojo,Y,Y,8,j,8,32,0
S,pepe,T,T,9,h,9,67,0
S,sergio,Y,Y,0,g,0,88,0
A,pepe,U,U,9,f,9,93,0
A,sergio,U,U,12,d,12,34,0
A,jojo,Y,Y,11,s,11,45,0
A,sergio,T,T,23,a,23,5,0
A,sergio,Y,Y,21,z,21,76,0
S,sergio,Y,Y,2,x,2,30,0
A,jojo,U,U,21,c,21,4,0
S,sergio,Y,Y,54,v,54,34,0
A,pepe,T,T,56,b,56,10,0
A,jojo,U,U,76,n,76,21,0
S,sergio,Y,Y,78,q,78,42,0
S,sergio,Y,Y,98,w,98,28,0
S,sergio,Y,Y,76,e,76,14,0
A,sergio,Y,Y,54,r,54,31,0
A,sergio,T,T,32,t,32,67,0
S,pepe,T,T,34,y,34,8,0
A,jojo,T,T,56,u,56,5,0
S,pepe,T,T,7,i,7,4,0
A,sergio,T,T,8,o,8,5,0
S,sergio,U,U,9,p,9,44,0
S,jojo,U,U,8,l,8,32,0
S,pepe,U,U,7,k,7,67,0
S,sergio,U,U,6,j,6,88,0
A,pepe,U,U,5,h,5,93,0
A,sergio,Y,Y,4,g,4,34,0
A,jojo,T,T,3,f,3,45,0
A,sergio,Y,Y,2,d,2,5,0
A,sergio,U,U,1,s,1,76,0
S,sergio,Y,Y,2,a,2,30,0
A,jojo,U,U,3,z,3,4,0
S,sergio,Y,Y,4,x,4,34,0
A,pepe,T,T,5,c,5,10,0
A,jojo,U,U,6,v,6,21,0
S,jojo,T,T,7,b,7,72,0
S,sergio,T,T,7,n,7,35,0
S,sergio,U,U,77,q,77,42,0
S,sergio,U,U,56,w,56,28,0
S,sergio,U,U,54,e,54,14,0
A,sergio,U,U,34,r,34,31,0
A,sergio,U,U,32,t,32,67,0
S,pepe,U,U,14,y,14,8,0
A,jojo,Y,Y,16,u,16,5,0
S,pepe,T,T,18,i,18,4,0
A,sergio,Y,Y,19,o,19,5,0
S,sergio,U,U,1,p,1,44,0
S,jojo,Y,Y,2,l,2,32,0
S,pepe,T,T,3,k,3,67,0
S,sergio,Y,Y,4,j,4,88,0
A,pepe,U,U,5,h,5,93,0
A,sergio,U,U,6,g,6,34,0
A,jojo,Y,Y,7,f,7,45,0
A,sergio,T,T,6,d,6,5,0
A,sergio,Y,Y,5,s,5,76,0
S,sergio,Y,Y,4,a,4,30,0
A,jojo,U,U,3,z,3,4,0
